RIC,Market,TimestampUTC,Headline,ISIN
KJ5.SI,sgx,2018-07-25 00:00:00,BRIEF-BBR Holdings (S) Ltd Expects To Report A Net Loss For Q2,KJ5
1I5.SI,sgx,2018-07-31 15:49:00,BRIEF-Ayondo Ltd Says Thomas Winkler Re-Designated To Non-Executive Chairman,1I5
1I5.SI,sgx,2018-07-20 00:00:00,BRIEF-Ayondo Says Sean Downey Appointed CFO,1I5
43F.SI,sgx,2018-07-13 00:00:00,BRIEF-Acromec Secures Contract In Healthcare Sector Valued At S$2.9 Mln,43F
5GZ.SI,sgx,2018-07-31 11:35:00,"BRIEF-AA Group Holdings Ltd Says Minor Fire Occurred At 60 Benoi Road, Singapore",5GZ
AWG.SI,sgx,2018-07-30 11:25:00,BRIEF-Aei Corporation Expects To Report A Loss For HY2018.,AWG
O5RU.SI,sgx,2018-07-26 01:03:00,BRIEF-Aims Amp Capital Industrial Says Qtrly Distribution 2.50 Cents Per Unit,O5RU
502.SI,sgx,2018-07-13 00:00:00,"Moody's downgrades WEC Energy, Wisconsin Energy Capital and Integrys to Baa1 from A3; stable outlook",502
F17.SI,sgx,2018-07-10 00:00:00,BRIEF-Guocoland Announces Enbloc Acquisition Of Casa Meyfort Condominium By Unit For S$319.88 Mln,F17
F17.SI,sgx,2018-07-06 00:00:00,BRIEF-Guocoland Ltd Says Lai Tak Loi Resigned As CFO,F17
KJ5.SI,sgx,2018-07-25 00:00:00,BRIEF-BBR Holdings (S) Ltd Expects To Report A Net Loss For Q2,KJ5
E5H.SI,sgx,2018-07-18 00:00:00,Palm oil from Indonesia's shrinking forests taints global brands - report,E5H
BLW.SI,sgx,2018-07-27 10:15:00,BRIEF-Global Palm Resources Holdings Sees Qtrly Net Profit After Tax Substantially Lower Than Prior Year,BLW
RF7.SI,sgx,2018-07-09 00:00:00,BRIEF-Gaylin Holdings Announces Proposed Acquisition Of Entire Stake In Amos International,RF7
QS9.SI,sgx,2018-07-12 00:00:00,Global Invacom Group  - Launch of new Hangar Repeater Solution,QS9
G20.SI,sgx,2018-07-04 00:00:00,BRIEF-GP Industries Announces Proposed Disposal Of Land And Buildings Located In PRC,G20
AWS.SI,sgx,2018-07-03 00:00:00,BRIEF-Global Yellow Pages Updates On Proceedings By SAPL & SNZL,AWS
508.SI,sgx,2018-07-25 00:00:00,BRIEF-Fuji Offset Plates Manufacturing Says AME Integrated And Its Unit To Lend 50 Mln Rgt To Ipark,508
BUOU.SI,sgx,2018-07-03 00:00:00,BRIEF-Frasers Logistics & Industrial Trust To Divest Property To Trust Company (Australia),BUOU
ACV.SI,sgx,2018-07-26 12:03:00,BRIEF-Frasers Hospitality Trust Posts QTRLY Distribution Per Stapled Security 1.1226 Cents,ACV
ND8U.SI,sgx,2018-07-10 00:00:00,BRIEF-Frasers Commercial Trust Divests Property For S$216.8 MLN,ND8U
ND8U.SI,sgx,2018-07-25 00:00:00,BRIEF-Frasers Commercial Trust Posts Qtrly Net Property Income Of S$20.4 Mln,ND8U
F25U.SI,sgx,2018-07-27 10:16:00,BRIEF-Fortune Real Estate Investment Trust HY Net Property Income HK$748.6 Mln,F25U
F03.SI,sgx,2018-07-20 00:00:00,BRIEF-Food Empire Says Caffe Bene Obtained Majority Of Creditors' Consent To Start Rehabilitation Scheme,F03
ADN.SI,sgx,2018-07-27 00:15:00,BRIEF-First Sponsor Group Posts Q2 Profit Attributable Of S$12.1 Mln,ADN
D8DU.SI,sgx,2018-07-05 00:00:00,BRIEF-First Ship Lease Trust Signs New Facilities To Refinance Current Existing Outstanding Syndicated Loan,D8DU
J69U.SI,sgx,2018-07-24 00:00:00,BRIEF-Frasers Centrepoint Trust Posts Qtrly Net Property Income Of S$35 Mln,J69U
BDU.SI,sgx,2018-07-30 23:55:00,BRIEF-Federal International Sees Q2 Net Loss,BDU
AW9U.SI,sgx,2018-07-17 00:00:00,BRIEF-First Real Estate Investment Trust Says Q2 Net Property Income Was S$28.5 Mln,AW9U
J69U.SI,sgx,2018-07-31 05:37:00,Moody's: New retail space poses greater threat to retail S-REITs than the growth of online retail in the next 12-18 months,J69U
TQ5.SI,sgx,2018-07-12 00:00:00,BRIEF-Frasers Property Announces Acquisition Of Phu An Dien Real Estate JSC,TQ5
Q5T.SI,sgx,2018-07-31 01:20:00,BRIEF-Far East Hospitality Trust Says Qtrly Net Property Income S$25.7 Mln,Q5T
5FL.SI,sgx,2018-07-26 11:32:00,BRIEF-RHT Capital Says BT Investment To Make Mandatory Unconditional Cash Offer For CH Offshore,5FL
42Z.SI,sgx,2018-07-30 11:08:00,BRIEF-Eindec Corp Expects To Report A Net Loss For 1H2018,42Z
J91U.SI,sgx,2018-07-31 21:07:00,BRIEF-Viva Industrial Trust Says SGX-ST Has No Objection To Delist VIT,J91U
D6U.SI,sgx,2018-07-16 00:00:00,BRIEF-Dynamic Colours Appoints Tan Kuan Thim As Chief Financial Officer,D6U
5SO.SI,sgx,2018-07-09 00:00:00,BRIEF-Duty Free International Says To Subscribe For 2.8 Mln Shares Of Brand Connect Holding,5SO
5SO.SI,sgx,2018-07-11 00:00:00,BRIEF-Duty Free International Posts Q1 Profit Attributable Of 9 Mln RGT,5SO
F83.SI,sgx,2018-07-26 06:23:00,BRIEF-Prosafe extends standstill agreement with COSCO,F83
D05.SI,sgx,2018-07-26 06:35:00,BUZZ-Singapore's DBS Group could advance further - technicals,D05
D05.SI,sgx,2018-07-10 00:00:00,UPDATE 1-Singapore's Temasek sees slower investments after record portfolio,D05
D05.SI,sgx,2018-07-17 00:00:00,"Hong Kong regulator, banks launch blockchain-based trade finance platform",D05
D05.SI,sgx,2018-07-13 00:00:00,BREAKINGVIEWS-Sovereign investors sound market alarm,D05
D05.SI,sgx,2018-07-26 10:52:00,SE Asia Stocks-End higher; Philippines up for third straight session,D05
D01.SI,sgx,2018-07-25 00:00:00,Dairy Farm Intnl Jardine Matheson Hdg Jardine Strategic  - First Half of 2018 Results of PT Hero,D01
D01.SI,sgx,2018-07-26 10:29:00,BRIEF-Dairy Farm International Holdings Posts HY Profit Attributable Of US$225 Mln,D01
D01.SI,sgx,2018-07-31 10:26:00,Dairy Farm Intnl  - Total Voting Rights,D01
D01.SI,sgx,2018-07-26 10:06:00,Dairy Farm Intnl Jardine Matheson Hdg Jardine Strategic  - Half-year Report,D01
C52.SI,sgx,2018-07-20 00:00:00,BRIEF-Comfortdelgro Corporation Announces Incorporation Of Driving School JV In China,C52
P8A.SI,sgx,2018-07-13 00:00:00,BRIEF-Singapore Exchange Issues Query Regarding Trading Activity Of Cordlife Group,P8A
T4E.SI,sgx,2018-07-05 00:00:00,BRIEF-Compact Metal Industries Announces Resignation Of Heng Fook Chang As CFO,T4E
C29.SI,sgx,2018-07-20 00:00:00,BRIEF-Chip Eng Seng Corporation Says Unit To Buy 70 Pct Stake In  White Lodge Education Group Services Ltd,C29
C29.SI,sgx,2018-07-10 00:00:00,BRIEF-Chip Eng Seng Corp To Purchase Unit In Residential Project,C29
C29.SI,sgx,2018-07-02 00:00:00,BRIEF-Chip Eng Seng Corporation Says Unit Enters Into Contract To Buy Property In Australia,C29
C09.SI,sgx,2018-07-10 00:00:00,BRIEF-City Developments To Invest Hk$237.8 Mln In IPO Of E-House,C09
C09.SI,sgx,2018-07-06 00:00:00,"Curb on enthusiasm: Singapore property measures hit developers, investors",C09
C52.SI,sgx,2018-07-25 00:00:00,BRIEF-Comfortdelgro Corp Announces Deal To Buy Private Bus Chartering Assets For S$6.45 Million,C52
C52.SI,sgx,2018-07-06 00:00:00,"BUZZ-Singapore's Straits Times Index breaks support at 3,216 pts, sinks to 14-month low",C52
C52.SI,sgx,2018-07-05 00:00:00,"UPDATE 2-Singapore proposes fines on Grab, Uber, says merger harms competition",C52
P8A.SI,sgx,2018-07-16 00:00:00,"BRIEF-Cordlife Group Says Co In Confidential, Non-Binding Talks About Structuring Of Possible Deals",P8A
CH8.SI,sgx,2018-07-26 10:49:00,BRIEF-China Sunsine Chemical Sees Substantial Increase In Consol Net Profit For Quarter,CH8
D50.SI,sgx,2018-07-11 00:00:00,BRIEF-China Great Land Holdings Requests For Trading Halt,D50
U9E.SI,sgx,2018-07-26 11:17:00,BRIEF-China Everbright Water Secures Shandong Ji'nan Sludge Treatment Project,U9E
AZZ.SI,sgx,2018-07-27 10:51:00,BRIEF-China Gaoxian Fibre Fabric Holdings Updates On Project Huagang,AZZ
5NV.SI,sgx,2018-07-11 00:00:00,BRIEF-Chasen Holdings Expects Higher Revenue & To Operate Profitably In Fy19,5NV
5NV.SI,sgx,2018-07-30 02:51:00,BRIEF-Chasen Updates On Specialist Relocation Project In China,5NV
U9E.SI,sgx,2018-07-24 00:00:00,BRIEF-China Everbright Water Receives Approval For Multiple Subsidies Totaling Rmb16.31 Mln In HY,U9E
U9E.SI,sgx,2018-07-20 00:00:00,BRIEF-China Everbright Water Announces Supplementary Agreement For Expansion Of Plants,U9E
C92.SI,sgx,2018-07-30 11:46:00,BRIEF-China Haida Ltd Group Expects To Report Net Loss For HY,C92
5TP.SI,sgx,2018-07-04 00:00:00,BRIEF-CNMC Goldmine Holdings Says Termination Of Performance Share Plan Approved,5TP
AU8U.SI,sgx,2018-07-26 23:45:00,BRIEF-Capitaland Retail China Trust Posts Q2 Net Property Income Of S$37.6 Mln,AU8U
K2LU.SI,sgx,2018-07-31 01:11:00,BRIEF-Cache Logistics Trust posts QTRLY Distribution Per Unit 1.419 Cents,K2LU
AU8U.SI,sgx,2018-07-04 00:00:00,BRIEF-Capitaland Retail China Trust Issues Notes,AU8U
C06.SI,sgx,2018-07-06 00:00:00,BRIEF-Csc Holdings Chairman Chee Teck Kwong Patrick Retires,C06
C13.SI,sgx,2018-07-26 11:32:00,BRIEF-RHT Capital Says BT Investment To Make Mandatory Unconditional Cash Offer For CH Offshore,C13
5EB.SI,sgx,2018-07-17 00:00:00,BRIEF-Safran Says Loong Air And Cfm Sign $500 Million Agreement For Leap-1A & Cfm56-5B Engines,5EB
J85.SI,sgx,2018-07-27 00:26:00,BRIEF-Cdl Hospitality Trusts Qtrly Net Property Income S$33.6 Million,J85
CEE.SI,sgx,2018-07-25 00:00:00,BRIEF-Citic Envirotech Says Qtrly Profit Attributable S$43.3 Mln,CEE
CEE.SI,sgx,2018-07-23 00:00:00,BRIEF-Citic Envirotech Says Secured RMB134 Mln PPP Project In Guangdong Province,CEE
