#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
4SIJ.J,16-JUN-2018,,,Equities,4SIGHT HOLDINGS LTD ORD,N/P,N/P,,MU0557S00001,,JNB,ZAc,1,4Sight Holdings Ltd,,116139880,4Sight Holdings,MUS,,,,,,,,,,,,,,,147748586,,,4SIJ.J,,,,92,,,XJSE,XJSE,ORD,Y,4SI,4SIGHT HOLDINGS LTD ORD,1790,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ACEJ.J,16-JUN-2018,,,Equities,ACCENT ORD,N/P,N/P,,ZAE000115986,,JNB,ZAc,1,Accentuate Ltd,,102259123,Accentuate,ZAF,,,,,,,,,,,,,,,103431424,SAFCSF,,ACEJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ACE,Accentuate Ord Shs,1359,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ACGJ.J,16-JUN-2018,,,Equities,ANCHOR GROUP ORD,N/P,N/P,,ZAE000193389,,JNB,ZAc,1,Anchor Group Ltd,,114459345,Anchor Group,ZAF,,,,,,,,,,,,,,,127236677,,,ACGJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ACG,Anchor Group Ord Shs,1639,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ACLJ.J,16-JUN-2018,,,Equities,ARCMITTAL ORD,N/P,N/P,42841218,ZAE000134961,,JNB,ZAc,1,ArcelorMittal South Africa Ltd,,42544,Arcelor Africa,ZAF,,877925,,,A0RNR0,,,,,,,,,,463774,ISCR,,ACLJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ACL,Arcelormittal Ord Shs,1089,MIFID-E,ESVUFR,Y,ACLJ.F,FRAB,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ACSJ.J,16-JUN-2018,,,Equities,ACSION LIMITED ORD,N/P,N/P,,ZAE000198289,,JNB,ZAc,1,Acsion Ltd,,114555459,Acsion,ZAF,,,,,,,,,,,,,,,128730188,,,ACSJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ACS,Acsion Limited Ord Shs,1668,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ACTJ.J,16-JUN-2018,,,Equities,AFRO-C ORD,N/P,N/P,,ZAE000078416,,JNB,ZAc,1,AfroCentric Investment Corp Ltd,,101831828,AfroCentric,ZAF,,,,,A0JKUM,,,,,,,,,,102858124,BARWIL,,ACTJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ACT,Afrocentric Inv Corp Ord Shs,1652,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ADEOJ.J,16-JUN-2018,,,Equities,ADCOCK INGRAM HLDGS OPT ORD,N/P,N/P,,ZAE000204921,,JNB,ZAc,1,Adcock Ingram Holdings Ltd,,105778925,Adcock Ingram,ZAF,,,,,,,,,,,,,,,134094007,ADING,,AIPJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ADEO,Adcock Ingram Hldgs Option Ord Shs,1734,,esxxxx,Y,,,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ADHJ.J,16-JUN-2018,,,Equities,ADVTECH ORD,N/P,N/P,,ZAE000031035,,JNB,ZAc,1,Advtech Ltd,,127133,Advtech,ZAF,,,,,A0JDZ8,,,,,,,,,,4342470,ADVEDU,,ADHJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ADH,Advtech Ord Shs,1600,MIFID-E,ESVUFR,Y,ADHJ.BE,BERB,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ADIJ.J,16-JUN-2018,,,Equities,ADAPTIT ORD,N/P,N/P,,ZAE000113163,,JNB,ZAc,1,Adapt IT Holdings Ltd,,131207,Adaptit Holdings,ZAF,,,,,A0Q2NK,,,,,,,,,,5476909,INFLTD,,ADIJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ADI,Adaptit Holdings Ord Shs,1796,MIFID-E,ESVUFR,Y,,,JSE Less Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
ADRJ.J,16-JUN-2018,,,Equities,ADCORP HLDGS ORD,N/P,N/P,,ZAE000000139,,JNB,ZAc,1,Adcorp Holdings Ltd,,50799,Adcorp,ZAF,,,,,904855,,,,,,,,,,587515,ADCOSA,,ADRJ.J,,,,92,,,XJSE,XJSE,ORD,Y,ADR,Adcorp Holdings Ord Shs,1216,MIFID-E,ESVUFR,Y,ADRJ.BE,BERB,Medium Liquid,XJSE,106301635,N,,,,,,,,,,,,,,,,,1,ORD
