mkt,#RIC,Directory Company Name
asx,1AD.AX,Adalta Ltd
asx,1AG.AX,Alterra Ltd
asx,1AL.AX,OneAll International Ltd
asx,1ST.AX,1st Group Ltd
asx,3DP.AX,Pointerra Ltd
asx,3PL.AX,3P Learning Ltd
asx,4CE.AX,Force Commodities Ltd
asx,4DS.AX,4DS Memory Ltd
asx,5GN.AX,5G Networks Ltd
asx,88E.AX,88 Energy Ltd
asx,88EN.AX,88 Energy Ltd
asx,8CO.AX,8Common Ltd
asx,8EC.AX,8IP Emerging Companies Ltd
asx,8IH.AX,8I Holdings Ltd
asx,9SP.AX,9 Spokes International Ltd
asx,A1C.AX,AIC Resources Ltd
asx,A200.AX,BetaShares Australia 200 ETF
asx,A2M.AX,a2 Milk Company Ltd
asx,A3D.AX,Aurora Labs Ltd
asx,AAA.AX,Betashares Australian High Interest Cash Etf
asx,AAC.AX,Australian Agricultural Company Ltd
asx,AAD.AX,Ardent Leisure Group
asx,AAJ.AX,Aruma Resources Ltd
asx,AAL.AX,APAC Coal Ltd
asx,AAP.AX,Australian Agricultural Projects Ltd
asx,AAR.AX,Anglo Australian Resources NL
asx,AAU.AX,Adcorp Australia Ltd
asx,AB1.AX,Animoca Brands Corporation Ltd
asx,ABA.AX,Auswide Bank Ltd
asx,ABC.AX,Adelaide Brighton Ltd
asx,ABL.AX,Abilene Oil and Gas Ltd
asx,ABP.AX,Abacus Property Group
asx,ABR.AX,American Pacific Borate & Lithium Ltd
asx,ABT.AX,Abundant Produce Ltd
asx,ABU.AX,ABM Resources NL
asx,ABV.AX,Advanced Braking Technology Ltd
asx,ABW.AX,Aurora Absolute Return Fund
asx,ABX.AX,Australian Bauxite Ltd
asx,AC8.AX,Auscann Group Holdings Ltd
asx,ACB.AX,A-Cap Resources Ltd
asx,ACF.AX,Acrow Formwork and Construction Services Ltd
asx,ACG.AX,Atcor Medical Holdings Ltd
asx,ACK.AX,Austock Group Ltd
asx,ACL.AX,Alchemia Ltd
asx,ACP.AX,Audalia Resources Ltd
asx,ACQ.AX,Acorn Capital Investment Fund Ltd
asx,ACR.AX,Acrux Ltd
asx,ACS.AX,Accent Resources NL
asx,ACW.AX,Actinogen Medical Ltd
asx,ACX.AX,Aconex Ltd
asx,AD1.AX,Applydirect Ltd
asx,AD8.AX,Audinate Group Ltd
asx,ADA.AX,Adacel Technologies Ltd
asx,ADD.AX,Adavale Resources Ltd
asx,ADH.AX,Adairs Ltd
asx,ADJ.AX,Adslot Ltd
