#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
1AALL34.SA,16-JUN-2018,,,Equities,AMERICAN AIRLINES GROUP INC BDR,N/P,N/P,,BRAALLBDR003,,SAO,BRL,1,American Airlines Group Inc,,18175,American Airline,USA,,,,,,,,,,,,,,,141019335,AMAIR,,AAL.OQ,,,,5091,,,,,DRC,,AALL34,American Airlines Group Inc BDR,1267,,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,BDR
1AALL34F.SA,16-JUN-2018,,,Equities,AMERICAN AIRLINES GROUP INC BDR,N/P,N/P,,BRAALLBDR003,,SAO,BRL,1,American Airlines Group Inc,,18175,American Airline,USA,,,,,,,,,,,,,,,141019335,AMAIR,,AAL.OQ,,,,5091,,,,,DRC,,AALL34F,American Airlines Group Inc BDR,1267,,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,BDR
1AALR3.SA,16-JUN-2018,,,Equities,CENTRO DE IMAGEM DIAGNOSTICOS ORD,N/P,N/P,,BRAALRACNOR6,,SAO,BRL,1,Centro de Imagem Diagnosticos SA,,113267217,Centro de Imagem,BRA,,,,,,,,,,,,,,,141498996,,,AALR3.SA,,,,5091,,,,,ORD,,AALR3,Centro de Imagem Diagnosticos Ord Shs,1722,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1AALR3F.SA,16-JUN-2018,,,Equities,CENTRO DE IMAGEM DIAGNOSTICOS ORD,N/P,N/P,,BRAALRACNOR6,,SAO,BRL,1,Centro de Imagem Diagnosticos SA,,113267217,Centro de Imagem,BRA,,,,,,,,,,,,,,,141498996,,,AALR3.SA,,,,5091,,,,,ORD,,AALR3F,Centro de Imagem Diagnosticos Ord Shs,1722,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1AAPL34.SA,16-JUN-2018,,,Equities,APPLE BDR,N/P,N/P,,BRAAPLBDR004,,SAO,BRL,1,Apple Inc,,19775,Apple,USA,,,,,,,,,AAPL3,,,,,,112660241,APPLC,,AAPL.OQ,,,,5091,,,,,DRC,,AAPL34,Apple BDR,1769,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,,BDR
1AAPL34F.SA,16-JUN-2018,,,Equities,APPLE BDR,N/P,N/P,,BRAAPLBDR004,,SAO,BRL,1,Apple Inc,,19775,Apple,USA,,,,,,,,,AAPL3,,,,,,112660241,APPLC,,AAPL.OQ,,,,5091,,,,,DRC,,1AAPL34F,Apple BDR,1769,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,,BDR
1ABBV34.SA,16-JUN-2018,,,Equities,ABBVIE INC BDR,N/P,N/P,,BRABBVBDR001,,SAO,BRL,1,AbbVie Inc,,112105472,AbbVie,USA,,,,,,,,,,,,,,,139584911,,,ABBV.N,,,,5091,,,,,DRC,,ABBV34,Abbvie Inc BDR,1730,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,BDR
1ABBV34F.SA,16-JUN-2018,,,Equities,ABBVIE INC BDR,N/P,N/P,,BRABBVBDR001,,SAO,BRL,1,AbbVie Inc,,112105472,AbbVie,USA,,,,,,,,,,,,,,,139584911,,,ABBV.N,,,,5091,,,,,DRC,,ABBV34F,Abbvie Inc BDR,1730,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,BDR
1ABCB4F.SA,16-JUN-2018,,,Equities,BANCO ABC BRASIL PRF,N/P,N/P,,BRABCBACNPR4,,SAO,BRL,1,Banco ABC Brasil SA,,138001,ABC Brasil,BRA,,,,,A0M220,,,,ABCB4,,,,,,104530224,BABCBR,,ABCB4.SA,,,,5091,,,,,PRF,,1ABCB4F,Banco ABC Brasil Pref Shs,1615,,EPNNPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,PRF
1ABCP11F.SA,16-JUN-2018,,,Equities,FDO INV IMOB GRAND PLAZA SHOP CF,N/P,N/P,,BRABCPCTF000,,SAO,BRL,1,FI Imobiliario Grand Plaza Shopping,,105892064,FII Grand Plaza,BRA,,,,,,,,,ABCP1,,,,,,100961215,,,ABCP11.SA,,,,5091,,,,,ECL,,1ABCP11F,FI Imobiliario Grand Plaza Shopping,,,CICIRU,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,1,CEF
1ABEV3.SA,16-JUN-2018,,,Equities,AMBEV ORD,N/P,N/P,,BRABEVACNOR1,,SAO,BRL,1,Ambev SA,,106741612,Ambev,BRA,,,,,A1W8BB,,,,ABEV3,,,,,,115941994,,,ABEV3.SA,,,,5091,,,,,ORD,,ABEV3,Ambev Ord Shs,1525,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1ABEV3F.SA,16-JUN-2018,,,Equities,AMBEV ORD,N/P,N/P,,BRABEVACNOR1,,SAO,BRL,1,Ambev SA,,106741612,Ambev,BRA,,,,,A1W8BB,,,,ABEV3,,,,,,115941994,,,ABEV3.SA,,,,5091,,,,,ORD,,ABEV3F,Ambev Ord Shs,1525,,ESVUFR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,100,ORD
1ABTT34.SA,16-JUN-2018,,,Equities,ABBOTT LABORATORIES BDR,N/P,N/P,,BRABTTBDR007,,SAO,BRL,1,Abbott Laboratories,,18176,Abbott,USA,,,,,,,,,ABTT3,,,,,,117522735,ABOTLB,,ABT.N,,,,5091,,,,,DRC,,ABTT34,Abbott Laboratories BDR,1729,MIFID-E,EDSXPR,,,,Bovespa,BVMF,,N,,,,,,,,,,,,,,,,,,BDR
