mkt,ric,ric_or_isin
lse,100Hpa.TRE,LU1650492330
lse,10Df.TRE,US63938C1080
lse,10Ef.TRE,CA03765K1049
lse,10Vf.TRE,US92847R1041
lse,116f.TRE,US29272C1036
lse,117f.TRE,US0404131064
lse,11L1f.TRE,CA1380351009
lse,11Nf.TRE,US67011P1003
lse,11Z4be.TRE,US46429B1355
lse,11ZKbe.TRE,US46429B6149
lse,12X1f.TRE,US0327973006
lse,135f.TRE,US8112921015
lse,13JF.L,13JF
lse,13Kf.TRE,US4893981070
lse,13Mf.TRE,US56035L1044
lse,14Kf.TRE,US4408941031
lse,14Mf.TRE,US55608B1052
lse,14N1f.TRE,US64828T2015
lse,16f.TRE,CA22576C1014
lse,185f.TRE,US0138721065
lse,18Pf.TRE,CA3197021064
lse,19Hf.TRE,US4270965084
lse,19Xf.TRE,US05464T1043
lse,1A8f.TRE,US00430H1023
lse,1ALf.TRE,CA0115321089
lse,1AWf.TRE,US04010E1091
lse,1C5f.TRE,US1746101054
lse,1CGf.TRE,CH0334081137
lse,1COVde.TRE,DE0006062144
lse,1FGf.TRE,US31572Q8087
lse,1FHf.TRE,CA3565001086
lse,1FPAf.TRE,US34986J1051
lse,1FUDbe.TRE,US33734X8469
lse,1G3f.TRE,US3765461070
lse,1G4f.TRE,US36473H1041
lse,1GCf.TRE,CA1350861060
lse,1GIS.L,IE00BF4TW560
lse,1GLf.TRE,CA2210131058
lse,1GOS.L,IE00B94QKW89
lse,1GSNf.TRE,CA67000B1040
lse,1GUf.TRE,US4001101025
lse,1HWf.TRE,US4198791018
lse,1I1f.TRE,CA46050R1029
lse,1IKf.TRE,US45781V1017
lse,1J4f.TRE,JP3389660006
lse,1JAS.L,IE00BBGBF420
lse,1K3f.TRE,US49926D1090
lse,1LLbe.TRE,BMG9001E1021
lse,1LLCtg.TRE,BMG9001E1286
lse,1MCS.L,IE00BBGBF313
lse,1MOAf.TRE,US60879B1070
lse,1N31f.TRE,US6525262035
lse,1P2Nf.TRE,CA74347D2077
lse,1PAS.L,IE00B94QLR02
lse,1PJf.TRE,US69343T1079
lse,1Q3be.TRE,CH0406705126
lse,1S1Nf.TRE,US60463E1038
lse,1S4f.TRE,GB00BVVBC028
lse,1SIde.TRE,US83304A1060
lse,1T1f.TRE,GB00BDSFG982
lse,1VPAf.TRE,US92763W1036
lse,1WRf.TRE,US96145D1054
lse,1WTf.TRE,US97717P1049
lse,1XS1sg.TRE,US45790J1079
lse,2002q.L,USY150411251
lse,20Vf.TRE,US6350171061
lse,21Pf.TRE,CA05156X1087
lse,22Nf.TRE,US90137F1030
lse,22Pf.TRE,US70806A1060
lse,230f.TRE,US2826442020
lse,2317q.L,US4380902019
lse,241Af.TRE,US15136A1025
lse,24Pf.TRE,US81362J1007
lse,251be.TRE,US92206C4096
lse,26IBbe.TRE,US46429B5075
lse,26X1f.TRE,CA90352L1085
lse,272f.TRE,US84652J1034
lse,27Ff.TRE,US4831191030
lse,27Jf.TRE,US4532041096
lse,27Of.TRE,CA19075M3093
lse,2882aq.L,US14915V2051
lse,288f.TRE,US9234541020
lse,28Xf.TRE,CA0202891044
lse,2AAP.L,IE00BF03XJ35
lse,2AMZ.L,IE00BF03XH11
lse,2AR1f.TRE,US0423155078
lse,2BHf.TRE,US40412C1018
lse,2BZAf.TRE,US06684L1035
lse,2C0f.TRE,US22266L1061
lse,2CDAf.TRE,US21240E1055
lse,2CHf.TRE,KYG215151047
lse,2CIT.L,IE00BF03XL56
lse,2CRM.L,IE00BD09ZY63
lse,2CSC.L,IE00BF03XK40
lse,2CUde.TRE,US1638511089
lse,2DIS.L,IE00BF03XN70
lse,2EDf.TRE,US83417M1045
lse,2EXf.TRE,US3021041047
lse,2F3f.TRE,CA3381241007
lse,2FBf.TRE,US34964C1062
lse,2FB.L,IE00BF03XP94
lse,2FUf.TRE,CA33812R1091
lse,2GOL.L,IE00B94QKS44
lse,2GOO.L,IE00BF01VY89
lse,2GOS.L,IE00B94QKT50
lse,2HRAde.TRE,DE000A2E4T77
lse,2IBM.L,IE00BF03XS26
lse,2INT.L,IE00BF03XT33
lse,2INVEmc.TRE,FR0011036268
lse,2ISf.TRE,IE00B6330302
lse,2JAL.L,IE00BBGBF537
lse,2JNJ.L,IE00BF03XV54
lse,2JPM.L,IE00BF03XW61
lse,2JTf.TRE,US48205A1097
lse,2KO.L,IE00BF03XM63
lse,2L2sg.TRE,US5327461043
lse,2L9f.TRE,US09627Y1091
lse,2LBf.TRE,US4622601007
lse,2LFT.L,GB00BD8YYJ12
lse,2M6de.TRE,IE00BTN1Y115
lse,2MCD.L,IE00BF03XX78
lse,2MCL.L,IE00B94QKJ52
lse,2MDf.TRE,US6075251024
lse,2MSF.L,IE00BF03XY85
lse,2MUf.TRE,US6252071054
