#RIC,Date[G],Time[G],GMT Offset,Type,Description,CUSIP Code,SEDOL,Common Code,ISIN Code,Issue Classification,Exchange Identification,Currency Code,Trading Status,Directory Company Name,Industrial Classification Code,Organisation ID ORGID,Organisation Display Name,Organisation Geographical Unit,Australia Code,Austria Code,Belgium Code,France Code Sicovam,Wertpapier WM,Japan Code SICC,Netherlands Code,Rio De Janeiro Code,Sao Paulo Code,Switzerland Code VALOREN,Taiwan Code,Hong Kong Code,Malaysia Code,Singapore Code,Primary Issue Level Code PILC,Finsbury Company Code,ISO CFI Code,Primary RIC Edcoid,New MSCI Industrial Classification Code GICS,Dow Jones Stoxx Industrial Classification Code,FTSE Industrial Classification Code,PE Code,Quotron Symbol,New Belgian Code,Market Identifier Code MIC,Official Place Of Listing OPOL,Asset Categories,Primary Trading RIC,Ticker Symbol,Issue Long Name,RBSS Code,MiFID Indicator,CFI Code,Place Of Listing,Primary Reference Market Quote,Primary Execution Venue,Market Segment Name,Market MIC,Organizational Identifier of the Competent Regulatory Authority,CESR EEA Regulated,CESR Most Relevant Market,CESR Average Daily Turnover,CESR Average Daily Turnover Currency,CRA Average Daily Turnover,CRA Average Daily Turnover Currency,CESR Average Value Of Orders Executed,CESR Average Value Of Orders Executed Currency,CRA Average Value Of Orders Executed,CRA Average Value Of Orders Executed Currency,CESR Free Float,CESR Free Float Currency,CRA Free Float,CRA Free Float Currency,CESR Standard Market Size,CESR Standard Market Size Currency,New Netherlands Code,Round Lot Size,Reuters Classification Scheme
AAGH.SI,16-JUN-2018,,,Equities,AA GROUP HOLDINGS ORD,N/P,N/P,,SG1S12926576,,SES,SGD,1,AA Group Holdings Ltd,,101465042,AA Group,MYS,,,,,A113YG,,,,,,,,,5GZ,102062849,AAGRHS,,AAGH.SI,,,,3051,,,XSCA,XSCA,ORD,Y,5GZ,AA Group Holdings Ord Shs,1146,,ESXXXX,Y,,,Catalist,XSCA,,N,,,,,,,,,,,,,,,,,100,FULLPAID
AAGHbi.SI,16-JUN-2018,,,Equities,AA GROUP HOLDINGS ORD,N/P,N/P,,SG1S12926576,,SES,SGD,1,AA Group Holdings Ltd,,101465042,AA Group,MYS,,,,,A113YG,,,,,,,,,5GZ-B,102062849,AAGRHS,,AAGH.SI,,,,4082,,,,,ORD,,5GZ,AA Group Holdings Ord Shs,1146,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
AAGHol.SI,16-JUN-2018,,,Equities,AA GROUP HOLDINGS ORD,N/P,N/P,,SG1S12926576,,SES,SGD,1,AA Group Holdings Ltd,,101465042,AA Group,MYS,,,,,A113YG,,,,,,,,,5GZ-O,102062849,AAGRHS,,AAGH.SI,,,,4082,,,,,ORD,,5GZ,AA Group Holdings Ord Shs,1146,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
AAIK.SI,16-JUN-2018,,,Equities,ANNAIK ORD,N/P,N/P,,SG1O45913009,,SES,SGD,1,Annaik Ltd,,100110702,AnnAik,SGP,,,,,A0D81L,,,,,,,,,A52,100385100,ANNAIK,,AAIK.SI,,,,3051,,,XSES,XSES,ORD,Y,A52,AnnAik Ord Shs,1086,,ESXXXX,Y,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
AAIKbi.SI,16-JUN-2018,,,Equities,ANNAIK ORD,N/P,N/P,,SG1O45913009,,SES,SGD,1,Annaik Ltd,,100110702,AnnAik,SGP,,,,,A0D81L,,,,,,,,,A52-B,100385100,ANNAIK,,AAIK.SI,,,,4082,,,,,ORD,,A52,AnnAik Ord Shs,1086,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
AAIKol.SI,16-JUN-2018,,,Equities,ANNAIK ORD,N/P,N/P,,SG1O45913009,,SES,SGD,1,Annaik Ltd,,100110702,AnnAik,SGP,,,,,A0D81L,,,,,,,,,A52-O,100385100,ANNAIK,,AAIK.SI,,,,4082,,,,,ORD,,A52,AnnAik Ord Shs,1086,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
ABRH.SI,16-JUN-2018,,,Equities,ABR HOLDINGS ORD,N/P,N/P,,SG0533000253,,SES,SGD,1,ABR Holdings Ltd,,50766,ABR Holdings,SGP,,,,,888243,,,,,,,,,533,1474934,SWNSPC,,ABRH.SI,,,,3051,,,XSES,XSES,ORD,Y,533,ABR Holdings Ord Shs,1608,,ESXXXX,Y,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
ABRHbi.SI,16-JUN-2018,,,Equities,ABR HOLDINGS ORD,N/P,N/P,,SG0533000253,,SES,SGD,1,ABR Holdings Ltd,,50766,ABR Holdings,SGP,,,,,888243,,,,,,,,,533-B,1474934,SWNSPC,,ABRH.SI,,,,4082,,,,,ORD,,533,ABR Holdings Ord Shs,1608,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
ABRHol.SI,16-JUN-2018,,,Equities,ABR HOLDINGS ORD,N/P,N/P,,SG0533000253,,SES,SGD,1,ABR Holdings Ltd,,50766,ABR Holdings,SGP,,,,,888243,,,,,,,,,533-O,1474934,SWNSPC,,ABRH.SI,,,,4082,,,,,ORD,,533,ABR Holdings Ord Shs,1608,,ESXXXX,,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,1,FULLPAID
ABTR.SI,16-JUN-2018,,,Equities,ABTERRA ORD,N/P,N/P,,SG2C12961455,,SES,SGD,1,Abterra Ltd,,144961,Abterra,SGP,,,,,,,,,,,,,,L5I,7885400,HKOKSI,,ABTR.SI,,,,3051,,,XSES,XSES,ORD,Y,L5I,Abterra Ord Shs,1000,,ESXXXX,Y,,,Main Board,XSES,,N,,,,,,,,,,,,,,,,,100,FULLPAID
