RIC,Market,TimestampUTC,Headline
gold,gold,2017-12-21 07:36:00,UPDATE 1-UK Stocks-Factors to watch on Dec 21
gold,gold,2017-12-22 07:33:00,UPDATE 1-UK Stocks-Factors to watch on Dec 22
gold,gold,2017-12-20 07:30:00,UPDATE 1-UK Stocks-Factors to watch on Dec. 20
gold,gold,2017-12-19 07:40:00,UPDATE 1-UK Stocks-Factors to watch on Dec 19
gold,gold,2017-12-15 07:41:00,UPDATE 1-UK Stocks-Factors to watch on Dec 15
gold,gold,2017-12-13 07:41:00,UPDATE 1-UK Stocks-Factors to watch on Dec 13
gold,gold,2017-12-11 20:22:00,"UPDATE 10-Oil gains on Forties Pipeline shutdown, New York blast"
gold,gold,2017-12-11 07:40:00,UPDATE 1-UK Stocks-Factors to watch on Dec 11
gold,gold,2017-12-18 07:36:00,UPDATE 1-UK Stocks-Factors to watch on Dec 18
gold,gold,2017-12-12 07:44:00,UPDATE 1-UK Stocks-Factors to watch on Dec 12
gold,gold,2017-12-12 21:11:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-12-13 01:21:00,"UPDATE 1-Australia c.bank gov says bitcoin fascination is ""speculative mania"""
gold,gold,2017-12-14 07:43:00,UPDATE 1-UK Stocks-Factors to watch on Dec 14
gold,gold,2017-12-14 16:32:00,UPDATE 1-Italy regulator lands Renzi in trouble over bank collapse
gold,gold,2017-12-14 21:11:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-12-14 18:56:00,UPDATE 5-South Africa's Sibanye-Stillwater to be No. 2 platinum miner with Lonmin buy
gold,gold,2017-12-08 14:40:00,"UPDATE 1-Questions on free movement, red tape linger in Brexit citizens' deal"
gold,gold,2017-12-08 07:46:00,UPDATE 1-UK Stocks-Factors to watch on Dec 8
gold,gold,2017-12-06 10:25:00,"UPDATE 1-Russian athletes appeal against IOC's Olympic bans, court says"
gold,gold,2017-12-06 14:42:00,UPDATE 1-Newmont targets dividend boost by at least 50 pct in 2018
gold,gold,2017-12-15 21:11:00,BRIEF-Oxford Immunotec And Qiagen Reached A Settlement In Lawsuit
gold,gold,2017-12-04 17:05:00,UPDATE 1-S.African rand gains on hopes Ramaphosa will win ANC race
gold,gold,2017-12-06 07:49:00,UPDATE 1-UK Stocks-Factors to watch on Dec 6
gold,gold,2017-12-07 07:37:00,UPDATE 1-UK Stocks-Factors to watch on Dec 7
gold,gold,2017-12-05 07:50:00,UPDATE 1-UK Stocks-Factors to watch on Dec 5
gold,gold,2017-12-04 07:54:00,UPDATE 1-UK Stocks-Factors to watch on Dec 4
gold,gold,2017-12-03 23:10:00,UPDATE 3-Enter the 'petro': Venezuela to launch oil-backed cryptocurrency
gold,gold,2017-12-01 13:16:00,Friday Morning Briefing
gold,gold,2017-11-30 07:49:00,UPDATE 1-UK Stocks-Factors to watch on Nov 30
gold,gold,2017-11-30 08:59:00,UPDATE 1-U.S. trial threatens funding for Turkey's dollar-dependent banks
gold,gold,2017-12-01 07:33:00,UPDATE 1-UK Stocks-Factors to watch on Dec 1
gold,gold,2017-11-28 07:41:00,UPDATE 1-UK Stocks-Factors to watch on Nov 28
gold,gold,2017-11-29 07:50:00,UPDATE 1-UK Stocks-Factors to watch on Nov 29
gold,gold,2017-11-27 18:48:00,"UPDATE 2-From blind date to Botswana's stars, Prince Harry charts love for U.S. actress Meghan Markle"
gold,gold,2017-11-27 07:46:00,UPDATE 1-UK Stocks-Factors to watch on Nov 27
gold,gold,2017-11-27 11:01:00,UPDATE 1-Kremlin vows to defend Russian athletes after lost Sochi medals over doping
gold,gold,2017-11-24 07:43:00,UPDATE 1-UK Stocks-Factors to watch on Nov 24
gold,gold,2017-11-23 07:47:00,UPDATE 1-UK Stocks-Factors to watch on Nov 23
gold,gold,2017-11-22 12:38:00,Wednesday Morning Briefing
gold,gold,2017-11-22 16:57:00,UPDATE 1-South Africa's rand at one-month peak ahead of downgrade decisions
gold,gold,2017-11-22 07:35:00,UPDATE 1-UK Stocks-Factors to watch on Nov 22
gold,gold,2017-11-21 07:56:00,UPDATE 1-UK Stocks-Factors to watch on Nov 21
gold,gold,2017-11-14 07:51:00,UPDATE 1-UK Stocks-Factors to watch on Nov 14
gold,gold,2017-11-13 07:45:00,UPDATE 1-UK Stocks-Factors to watch on Nov 13
gold,gold,2017-11-10 07:56:00,UPDATE 2-UK Stocks-Factors to watch on Nov 10
gold,gold,2017-11-09 21:34:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-11-08 21:47:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-11-07 18:50:00,UPDATE 1-U.S. exchange operators believe in cryptocurrencies: Cboe
gold,gold,2017-11-07 22:05:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-10-30 07:41:00,UPDATE 1-UK Stocks-Factors to watch on Oct 30
gold,gold,2017-11-06 21:36:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-10-27 06:48:00,UPDATE 1-UK Stocks-Factors to watch on Oct 27
gold,gold,2017-10-26 15:08:00,UPDATE 1-Small mining companies shun London market after IPO flops
gold,gold,2017-10-25 22:22:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-10-26 06:30:00,UPDATE 1-UK Stocks-Factors to watch on Oct 26
gold,gold,2017-10-23 06:59:00,UPDATE 3-UK Stocks-Factors to watch on Oct 23
gold,gold,2017-10-20 06:56:00,UPDATE 1-UK Stocks-Factors to watch on Oct. 20
gold,gold,2017-10-20 13:26:00,UPDATE 1-CANADA STOCKS-TSX futures slightly higher after inflation data
gold,gold,2017-10-20 20:05:00,UPDATE 3-Acacia-Tanzania proposed settlement on track -Barrick
gold,gold,2017-10-19 16:11:00,"UPDATE 1-British stocks fall as profit warnings bruise IWG, Interserve"
gold,gold,2017-10-19 21:55:00,BRIEF-Revival Gold announces strategic relationship with Orion Mine Finance
gold,gold,2017-10-18 18:36:00,UPDATE 1-Scotiabank mulls sale of gold trading unit -sources
gold,gold,2017-10-18 06:49:00,UPDATE 1-UK Stocks-Factors to watch on Oct 18
gold,gold,2017-10-16 06:57:00,UPDATE 2-UK Stocks-Factors to watch on Oct 16
gold,gold,2017-09-27 21:37:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-09-27 06:38:00,UPDATE 1-UK Stocks-Factors to watch on Sept 27
gold,gold,2017-09-26 06:34:00,UPDATE 1-UK Stocks-Factors to watch on Sept 26
gold,gold,2017-09-25 23:05:00,REFILE-UPDATE 2-Brazil to reinstate protection for Amazon reserve
gold,gold,2017-09-25 09:27:00,UPDATE 1-Investors wary as Tanzania moves to assert more control over mines
gold,gold,2017-09-25 06:33:00,UPDATE 1-UK Stocks-Factors to watch on Sept 25
gold,gold,2017-09-20 21:52:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-09-17 21:45:00,Update 1-Asia Morning Call-Global Markets
gold,gold,2017-09-18 06:33:00,UPDATE 1-UK Stocks-Factors to watch on Sept 18
gold,gold,2017-09-13 06:36:00,UPDATE 1-UK Stocks-Factors to watch on Sept 13
gold,gold,2017-09-12 20:21:00,"UPDATE 2-Bridgewater's Dalio says would be ""terrible"" if Cohn left White House"
gold,gold,2017-09-11 13:26:00,UPDATE 1-Zambia sees copper output easing slightly this year
gold,gold,2017-09-11 21:44:00,UPDATE 1-Asia Morning Call-Global Markets
gold,gold,2017-09-07 23:28:00,"UPDATE 1-Investors pull $1.1 bln from stock funds, add $6.8 bln in money funds -Lipper"
gold,gold,2017-09-07 10:11:00,"UPDATE 2-China August FX reserves, up for 7th straight month, reach $3.092 trln"
