mkt,ric,ric_or_isin
asx,1AD.AX,1AD
asx,1AG.AX,1AG
asx,1AL.AX,1AL
asx,1ST.AX,1ST
asx,3DP.AX,3DP
asx,3PL.AX,3PL
asx,4CE.AX,4CE
asx,4DS.AX,4DS
asx,5GN.AX,5GN
asx,88E.AX,88E
asx,88EN.AX,88EN
asx,8CO.AX,8CO
asx,8EC.AX,8EC
asx,8IH.AX,8IH
asx,9SP.AX,9SP
asx,A1C.AX,A1C
asx,A200.AX,A200
asx,A2M.AX,A2M
asx,A3D.AX,A3D
asx,AAA.AX,AAA
asx,AAC.AX,AAC
asx,AAD.AX,AAD
asx,AAJ.AX,AAJ
asx,AAL.AX,AAL
asx,AAP.AX,AAP
asx,AAR.AX,AAR
asx,AAU.AX,AAU
asx,AB1.AX,AB1
asx,ABA.AX,ABA
asx,ABC.AX,ABC
asx,ABL.AX,ABL
asx,ABP.AX,ABP
asx,ABR.AX,ABR
asx,ABT.AX,ABT
asx,ABU.AX,ABU
asx,ABV.AX,ABV
asx,ABW.AX,ABW
asx,ABX.AX,ABX
asx,AC8.AX,AC8
asx,ACB.AX,ACB
asx,ACF.AX,ACF
asx,ACG.AX,ACG
asx,ACK.AX,ACK
asx,ACL.AX,ACL
asx,ACP.AX,ACP
asx,ACQ.AX,ACQ
asx,ACR.AX,ACR
asx,ACS.AX,ACS
asx,ACW.AX,ACW
asx,ACX.AX,ACX
asx,AD1.AX,AD1
asx,AD8.AX,AD8
asx,ADA.AX,ADA
asx,ADD.AX,ADD
asx,ADH.AX,ADH
asx,ADJ.AX,ADJ
asx,ADN.AX,ADN
asx,ADO.AX,ADO
asx,ADR.AX,ADR
asx,ADT.AX,ADT
asx,ADV.AX,ADV
asx,ADX.AX,ADX
asx,ADY.AX,ADY
asx,AEB.AX,AEB
asx,AEE.AX,AEE
asx,AEF.AX,AEF
asx,AEG.AX,AEG
asx,AEI.AX,AEI
asx,AER.AX,AER
asx,AEV.AX,AEV
asx,AFA.AX,AFA
asx,AFG.AX,AFG
asx,AFI.AX,AFI
asx,AFP.AX,AFP
asx,AFR.AX,AFR
asx,AFT.AX,AFT
asx,AGD.AX,AGD
asx,AGE.AX,AGE
asx,AGG.AX,AGG
asx,AGI.AX,AGI
asx,AGJ.AX,AGJ
asx,AGL.AX,AGL
asx,AGO.AX,AGO
asx,AGR.AX,AGR
asx,AGS.AX,AGS
asx,AGY.AX,AGY
asx,AHF.AX,AHF
asx,AHG.AX,AHG
asx,AHK.AX,AHK
asx,AHL.AX,AHL
asx,AHN.AX,AHN
asx,AHQ.AX,AHQ
asx,AHR.AX,AHR
asx,AHX.AX,AHX
asx,AHY.AX,AHY
asx,AHZ.AX,AHZ
asx,AIA.AX,AIA
asx,AIB.AX,AIB
asx,AIQ.AX,AIQ
asx,AIR.AX,AIR
asx,AIS.AX,AIS
asx,AIV.AX,AIV
asx,AIY.AX,AIY
asx,AIZ.AX,AIZ
asx,AJC.AX,AJC
asx,AJD.AX,AJD
asx,AJJ.AX,AJJ
asx,AJL.AX,AJL
asx,AJM.AX,AJM
asx,AJQ.AX,AJQ
asx,AJX.AX,AJX
asx,AJY.AX,AJY
asx,AKF.AX,AKF
asx,AKG.AX,AKG
asx,AKM.AX,AKM
asx,AKN.AX,AKN
asx,AKP.AX,AKP
asx,AL8.AX,AL8
asx,ALC.AX,ALC
asx,ALF.AX,ALF
asx,ALI.AX,ALI
asx,ALK.AX,ALK
asx,ALL.AX,ALL
asx,ALQ.AX,ALQ
asx,ALR.AX,ALR
asx,ALT.AX,ALT
asx,ALU.AX,ALU
asx,ALX.AX,ALX
asx,ALY.AX,ALY
asx,AMA.AX,AMA
asx,AMB.AX,AMB
asx,AMC.AX,AMC
asx,AMD.AX,AMD
asx,AME.AX,AME
asx,AMG.AX,AMG
asx,AMH.AX,AMH
asx,AMI.AX,AMI
asx,AML.AX,AML
asx,AMN.AX,AMN
asx,AMO.AX,AMO
asx,AMP.AX,AMP
asx,AMT.AX,AMT
asx,ANG.AX,ANG
asx,ANL.AX,ANL
asx,ANN.AX,ANN
asx,ANO.AX,ANO
asx,ANP.AX,ANP
asx,ANPN.AX,ANPN
asx,ANR.AX,ANR
asx,ANS.AX,ANS
asx,ANW.AX,ANW
asx,ANZ.AX,ANZ
asx,AO1.AX,AO1
asx,AOA.AX,AOA
asx,AOD.AX,AOD
asx,AOF.AX,AOF
asx,AOG.AX,AOG
asx,AOH.AX,AOH
asx,AOK.AX,AOK
asx,AON.AX,AON
asx,AOP.AX,AOP
asx,AOU.AX,AOU
asx,AOW.AX,AOW
asx,APA.AX,APA
asx,APC.AX,APC
asx,APD.AX,APD
asx,APE.AX,APE
asx,APG.AX,APG
asx,API.AX,API
asx,APL.AX,APL
asx,APO.AX,APO
asx,APT.AX,APT
asx,APW.AX,APW
asx,APX.AX,APX
asx,APZ.AX,APZ
asx,AQC.AX,AQC
asx,AQD.AX,AQD
asx,AQF.AX,AQF
asx,AQG.AX,AQG
asx,AQI.AX,AQI
asx,AQS.AX,AQS
asx,AQX.AX,AQX
asx,AQZ.AX,AQZ
asx,ARA.AX,ARA
asx,ARB.AX,ARB
asx,ARC.AX,ARC
asx,ARD.AX,ARD
asx,ARE.AX,ARE
asx,ARF.AX,ARF
asx,ARG.AX,ARG
asx,ARK.AX,ARK
asx,ARL.AX,ARL
asx,ARM.AX,ARM
asx,ARO.AX,ARO
asx,ARQ.AX,ARQ
asx,ARS.AX,ARS
asx,ARU.AX,ARU
asx,ARV.AX,ARV
asx,ARX.AX,ARX
asx,AS1.AX,AS1
asx,ASB.AX,ASB
asx,ASG.AX,ASG
asx,ASH.AX,ASH
asx,ASL.AX,ASL
asx,ASN.AX,ASN
asx,ASP.AX,ASP
asx,AST.AX,AST
asx,ASW.AX,ASW
asx,ASX.AX,ASX
asx,ATC.AX,ATC
asx,ATL.AX,ATL
asx,ATM.AX,ATM
asx,ATP.AX,ATP
asx,ATR.AX,ATR
asx,ATS.AX,ATS
asx,ATT.AX,ATT
asx,ATU.AX,ATU
asx,AU1.AX,AU1
asx,AU8.AX,AU8
asx,AUB.AX,AUB
asx,AUC.AX,AUC
asx,AUDS.AX,AUDS
asx,AUF.AX,AUF
asx,AUH.AX,AUH
asx,AUI.AX,AUI
asx,AUL.AX,AUL
asx,AUMF.AX,AUMF
asx,AUP.AX,AUP
asx,AUQ.AX,AUQ
asx,AUR.AX,AUR
asx,AUST.AX,AUST
asx,AUZ.AX,AUZ
asx,AVA.AX,AVA
asx,AVB.AX,AVB
asx,AVC.AX,AVC
asx,AVD.AX,AVD
asx,AVG.AX,AVG
asx,AVH.AX,AVH
asx,AVJ.AX,AVJ
asx,AVL.AX,AVL
asx,AVN.AX,AVN
asx,AVQ.AX,AVQ
asx,AVW.AX,AVW
asx,AVZ.AX,AVZ
asx,AWC.AX,AWC
asx,AWE.AX,AWE
asx,AWN.AX,AWN
asx,AWV.AX,AWV
asx,AWY.AX,AWY
asx,AX1.AX,AX1
asx,AX8.AX,AX8
asx,AXE.AX,AXE
asx,AXI.AX,AXI
asx,AXL.AX,AXL
asx,AXP.AX,AXP
asx,AXT.AX,AXT
asx,AYF.AX,AYF
asx,AYI.AX,AYI
asx,AYJ.AX,AYJ
asx,AYK.AX,AYK
asx,AYM.AX,AYM
asx,AYR.AX,AYR
asx,AYS.AX,AYS
asx,AYZ.AX,AYZ
asx,AZI.AX,AZI
asx,AZJ.AX,AZJ
asx,AZM.AX,AZM
asx,AZS.AX,AZS
asx,AZV.AX,AZV
asx,AZY.AX,AZY
asx,B2Y.AX,B2Y
asx,BAF.AX,BAF
asx,BAH.AX,BAH
asx,BAL.AX,BAL
asx,BAP.AX,BAP
asx,BAR.AX,BAR
asx,BAS.AX,BAS
